# Artist paletteelo. Full tutorial: assets/palette_tutorial.md.
# Three parts: COLOR dictionary (this file's named sections), RAMP tables
# (RAMPS/*: 8 ramps x 4 shades each, composed from dictionary names as
# SECTION/name), and ANCHORS (which color pins tile shade 0 per sheet).
# Lines starting with # are comments. Ramps own every CGB color in the
# game -- there are no hidden hardcoded colors anymore.
COMMON
white: #ffffff
parchment: #f5e6d2
silver: #aaaaaa
ash: #555555
gray_light: #c8c8c8
gray_mid: #969696
gray_dark: #5a5a5a
gray_deep: #282828

GAMEPLAY
fire_pale: #ffffe0
fire_light: #ff8c28
fire_mid: #dc3214
fire_deep: #640a00
iron_pale: #ebf2fa
iron_light: #8cb4d6
iron_mid: #46698a
iron_deep: #1b2b3a
mauve_pale: #faf0fa
mauve_light: #be8cc8
mauve_mid: #8c50a0
mauve_deep: #3c1e50
wood_light: #c48a48
wood_mid: #8a5222
wood_deep: #3d200a
gold_pale: #fffce0
gold_mid: #c88c08
gold_shadow: #5a3a00

FOREST
wood_and_dirt: #4a3b1c
grass: #7bb660
tree_leaves_terrain_outline_big_grass: #2a4f1a
dark_tree_leaves: #1d3e0f
rocks: #a99fc0
rocks_outline: #26232e
void_holes: #000000

DESOLATE
ground: #938da1
rocks_stone_light: #a99fc0
rocks_stone_shadow: #837b96
tree_item_outlines_cracks: #26232e
terrain_side : #3f3a4a
void: #000000
flame_light: #edc214
flame_mid: #d75014
flame_deep: #500a00
flora_mid: #746f80
gold_shadow: #321e0a

CASTLE
ground: #a99fc0
wall_dark: #565656
wall_light: #828282
wood_light: #8d754a
wood_dark: #6f5a34
gold: #d7a726
curtain_light: #8b1b1b
curtain_dark: #621212
window_frame: #2e2e2e
stone_mid: #b3b0b0
curtain_deep: #1e0000
steel_light: #8ca0b4
steel_mid: #465a6e
steel_deep: #1e2832
moss_light: #5a8c50
moss_mid: #28501e
moss_deep: #0a1e0a
timber_light: #9e8e71
timber_deep: #28190a
gold_mid: #a29271
gold_shadow: #3c280a
shade_deep: #232323

TOWN
ground: #b6a27e
puddle_stone_window: #b6b6b6
barrel_wood_fence: #8d754a
fence_light: #79643e
wood_outlines: #645233
house_wall: #f1cf91
house_roof_shade1: #ccaa6c
house_roof_shade2: #b6a27e
stone_light: #c8c8c8
stone_mid: #7d7d7d
stone_deep: #1e1e1e
ember_light: #ffc460
ember_mid: #dc6e20
ember_deep: #5a280a
steel_light: #96a0b4
steel_mid: #556982
steel_deep: #232d3c
dirt_light: #8c7858
dirt_mid: #604e34
dirt_deep: #302418
wood_deep: #26180a
shade_light: #9e9480
shade_mid: #645842
shade_deep: #2a241a

SPRITES
wood_dog: #8d754a
slime_highlight: #b4f578
slime_light: #77e331
slime_dark: #5c903a
character_main_outline_bat: #000000
enemy: #673c3c
npc: #3f3017
npc_beard: #b6b6b6
mage_cloth: #475ca8
chest_outline: #6f5a34
chest_lock: #ac9d23
spider_boss_light: #565656
